epoch,accuracy,loss,val_accuracy,val_loss
-1,0.007155062165111303,12.033066749572754,0.005622489843517542,12.328448295593262
0,0.3965185880661011,4.098076820373535,0.7493975758552551,1.141120433807373
1,0.6924391388893127,1.3326023817062378,0.8321285247802734,0.6903371810913086
2,0.7962409257888794,0.7880592346191406,0.86104416847229,0.5676627159118652
3,0.8570055365562439,0.5326792001724243,0.8787148594856262,0.4974031448364258
4,0.8914993405342102,0.38506004214286804,0.8843373656272888,0.47484272718429565
5,0.9210807085037231,0.28317052125930786,0.8939759135246277,0.4533652663230896
6,0.9375267028808594,0.20990045368671417,0.8931726813316345,0.44215965270996094
7,0.9550405740737915,0.16210651397705078,0.8931726813316345,0.4349686801433563
8,0.9695642590522766,0.12281478941440582,0.8995984196662903,0.4423634111881256
9,0.9767193794250488,0.09558268636465073,0.8987951874732971,0.42425528168678284
10,0.9824861288070679,0.07592429220676422,0.9076305031776428,0.4114314615726471
11,0.9837676286697388,0.06498081982135773,0.9036144614219666,0.4187127351760864
12,0.9891071915626526,0.051556363701820374,0.914859414100647,0.4057426154613495
13,0.990709125995636,0.04383445903658867,0.9156626462936401,0.4035983383655548
14,0.9924177527427673,0.03720603510737419,0.9100401401519775,0.420958548784256
15,0.9948740005493164,0.02904459275305271,0.9124497771263123,0.4162801206111908
16,0.9950875639915466,0.026365457102656364,0.9028112292289734,0.4224621057510376
-1,0.9990388751029968,0.011774248443543911,0.9156626462936401,0.4035983681678772
0,0.9892140030860901,0.0430944450199604,0.9140562415122986,0.4443567097187042
1,0.9935925006866455,0.026951003819704056,0.9180722832679749,0.4461897015571594
2,0.993485689163208,0.02947094291448593,0.9196786880493164,0.4394850432872772
3,0.9947671890258789,0.01959090307354927,0.918875515460968,0.4520207643508911
4,0.9961555004119873,0.018252838402986526,0.9140562415122986,0.4561953842639923
5,0.9969030618667603,0.01404501497745514,0.918875515460968,0.45102760195732117
6,0.9966894388198853,0.013667566701769829,0.9140562415122986,0.5043410658836365
7,0.9948740005493164,0.01706964522600174,0.9269076585769653,0.4412461817264557
8,0.9965826272964478,0.011823113076388836,0.9228915572166443,0.45934388041496277
9,0.9969030618667603,0.013333474285900593,0.918875515460968,0.42031097412109375
10,0.9979709386825562,0.007469608448445797,0.9309237003326416,0.4133204221725464
11,0.9967962503433228,0.011924847960472107,0.9236947894096375,0.44407713413238525
12,0.9982913136482239,0.008115708827972412,0.9132530093193054,0.45547837018966675
13,0.9980777502059937,0.008624991402029991,0.9244980216026306,0.42086097598075867
14,0.9985049366950989,0.007213365286588669,0.9212851524353027,0.45473363995552063
15,0.9979709386825562,0.0074034761637449265,0.9196786880493164,0.426764577627182
