epoch,accuracy,loss,val_accuracy,val_loss
-1,0.0040805223397910595,13.185063362121582,0.004302396904677153,13.259370803833008
0,0.2302434742450714,4.91950798034668,0.5440995693206787,2.128063440322876
1,0.5013941526412964,2.3226516246795654,0.6527351140975952,1.5758147239685059
2,0.6187772154808044,1.6428083181381226,0.6882298588752747,1.4210056066513062
3,0.6917505264282227,1.2629120349884033,0.7042102217674255,1.3533035516738892
4,0.7537404894828796,0.9765689969062805,0.7151198387145996,1.3249380588531494
5,0.7961779236793518,0.7779040336608887,0.7169637084007263,1.3249850273132324
6,0.8359289765357971,0.6188370585441589,0.7235710024833679,1.3291363716125488
7,0.8697293400764465,0.4893062710762024,0.7266441583633423,1.3410851955413818
-1,0.8637105822563171,0.5757095813751221,0.7151198387145996,1.3249382972717285
0,0.8043389320373535,0.7300134897232056,0.7252612113952637,1.3840652704238892
1,0.8568756580352783,0.5165206789970398,0.7326367497444153,1.4271749258041382
2,0.893056333065033,0.3846566379070282,0.7332513928413391,1.4625500440597534
3,0.9188656210899353,0.2851300537586212,0.7390903234481812,1.495456576347351
4,0.9388261437416077,0.21696420013904572,0.7418561577796936,1.5251234769821167
5,0.9529039859771729,0.16681750118732452,0.7403196096420288,1.5778673887252808
