epoch,accuracy,loss,val_accuracy,val_loss
-1,0.005664300639182329,14.010054588317871,0.003212851472198963,14.403633117675781
0,0.43328315019607544,3.826171398162842,0.7734940052032471,0.9514403343200684
1,0.706818699836731,1.2128357887268066,0.8514056205749512,0.5999011397361755
2,0.8081308007240295,0.7325214147567749,0.8738955855369568,0.5181055068969727
3,0.8662794828414917,0.4910556375980377,0.8819277286529541,0.4671442210674286
4,0.8996917009353638,0.3513204753398895,0.8803212642669678,0.4614262282848358
5,0.9253603219985962,0.2615217864513397,0.8987951874732971,0.4187256693840027
6,0.9450060725212097,0.19447840750217438,0.8971887826919556,0.42338964343070984
7,0.959704577922821,0.14581821858882904,0.9052208662033081,0.4518159031867981
8,0.9747616052627563,0.10131441056728363,0.902008056640625,0.42678797245025635
9,0.977199375629425,0.08847745507955551,0.8995984196662903,0.4052286148071289
10,0.9820032715797424,0.06843460351228714,0.9044176936149597,0.4043352007865906
-1,0.9923998117446899,0.04912745580077171,0.9052208662033081,0.45181596279144287
0,0.9673048257827759,0.10555966943502426,0.914859414100647,0.4289427697658539
1,0.9842259883880615,0.05760911852121353,0.9212851524353027,0.3998588025569916
2,0.9867355227470398,0.04347255453467369,0.9180722832679749,0.41862377524375916
3,0.9895318150520325,0.036927998065948486,0.9172690510749817,0.39768239855766296
4,0.9941923022270203,0.024391550570726395,0.9180722832679749,0.4079523980617523
5,0.9949809908866882,0.021191993728280067,0.918875515460968,0.41047075390815735
6,0.9941923022270203,0.020647989585995674,0.9180722832679749,0.45318472385406494
