epoch,accuracy,loss,val_accuracy,val_loss
-1,0.015845701098442078,10.386920928955078,0.015261043794453144,10.803162574768066
0,0.5211156606674194,2.9994072914123535,0.8144578337669373,0.7692466378211975
1,0.8001003861427307,0.7969810366630554,0.8642570376396179,0.5578593611717224
2,0.8800458908081055,0.44595417380332947,0.8779116272926331,0.465805321931839
3,0.9174016118049622,0.2963508367538452,0.8859437704086304,0.43512287735939026
4,0.9403455853462219,0.2064814269542694,0.8955823183059692,0.4280582666397095
5,0.9598479866981506,0.14191293716430664,0.9012048244476318,0.41756173968315125
6,0.969957709312439,0.10714390873908997,0.897991955280304,0.45073747634887695
7,0.9798523187637329,0.07772976905107498,0.9068273305892944,0.4275819957256317
8,0.9847996234893799,0.06122880429029465,0.9100401401519775,0.41475480794906616
9,0.9897469282150269,0.04464811459183693,0.9108433723449707,0.4302782416343689
10,0.9906073212623596,0.040990978479385376,0.9116466045379639,0.45170873403549194
11,0.9931167960166931,0.031103916466236115,0.9092369675636292,0.4297562837600708
12,0.9935470223426819,0.027466019615530968,0.9132530093193054,0.4305025637149811
13,0.995052695274353,0.02269231714308262,0.9180722832679749,0.4303283095359802
14,0.9967734813690186,0.01898139901459217,0.9092369675636292,0.4185158610343933
15,0.9964150190353394,0.016545306891202927,0.8987951874732971,0.46919214725494385
16,0.995411217212677,0.01993831805884838,0.908433735370636,0.4902808964252472
-1,0.9992830157279968,0.006178629584610462,0.9180722832679749,0.43032824993133545
0,0.9939771890640259,0.026011407375335693,0.9108433723449707,0.4625207781791687
1,0.9937620759010315,0.02177264168858528,0.9140562415122986,0.4476436376571655
2,0.9963433146476746,0.017375897616147995,0.9092369675636292,0.45430001616477966
3,0.9961282014846802,0.013009692542254925,0.9261044263839722,0.43389803171157837
4,0.9964867234230042,0.01303896401077509,0.9180722832679749,0.4292747676372528
5,0.9964867234230042,0.01243659295141697,0.918875515460968,0.43001705408096313
6,0.9972754120826721,0.010194812901318073,0.9228915572166443,0.4629170000553131
7,0.9972754120826721,0.012609866447746754,0.9212851524353027,0.449069619178772
8,0.9964150190353394,0.011764210648834705,0.9100401401519775,0.49928900599479675
